instance,portfolio,backend_scope,raw_min_primal,raw_min_primal_source,excluded_primal_candidates,selected_primal,primal_source,selected_dual,dual_source,portfolio_gap_fraction,portfolio_gap_state,primal_evidence_note,gurobi_baseline_primal,gurobi_baseline_dual,gurobi_baseline_gap_fraction,original_copt_primal,original_copt_dual,original_copt_gap_fraction,original_copt_gap_state,original_copt_time_seconds,original_copt_result,gurobi_minus_portfolio_gap_pp,portfolio_vs_gurobi,copt_minus_portfolio_gap_pp,portfolio_vs_copt
scpm1,primal_dual,all_available,537.0,primal skill,[],537.0,primal skill,416,dual skill Gurobi; dual skill COPT terminal,0.225325884543761638733705772811918063314711359404096834264432029795158286778398510242085661,available,historically accepted numerical witness; not uniformly revalidated,537,415,0.227188081936685288640595903165735567970204841713221601489757914338919925512104283054003724,630,415.555435,0.340388198412698412698412698412698412698412698412698412698412698412698412698412698412698413,available,36000.0,stop,0.186219739292364990689013035381750465549348230912476722532588454376163873370577281191806292,win,11.5062313868936773964706925600780349383701339008601578433980668617540125920014188170612752,win
scpm1,primal_dual,gurobi_only,537.0,primal skill,[],537.0,primal skill,416,dual skill Gurobi,0.225325884543761638733705772811918063314711359404096834264432029795158286778398510242085661,available,historically accepted numerical witness; not uniformly revalidated,537,415,0.227188081936685288640595903165735567970204841713221601489757914338919925512104283054003724,630,415.555435,0.340388198412698412698412698412698412698412698412698412698412698412698412698412698412698413,available,36000.0,stop,0.186219739292364990689013035381750465549348230912476722532588454376163873370577281191806292,win,11.5062313868936773964706925600780349383701339008601578433980668617540125920014188170612752,win
ger50-17-trans-dfn-3t,three_skills,all_available,3969.433399999999,general skill,[],3969.433399999999,general skill,3934.3152,dual skill Gurobi,0.00884715687634386531013642308342175740659185349268170278202765479871832136739082175262629860,available,historically accepted numerical witness; not uniformly revalidated,3969.433399999997,3917.155362335,0.0131701511014133753977213232095356967480471214373039346475404554997204242351985296342981106,4352.9664,3831.36744,0.119826093764472889108447976993344125054583467494718084660612128777286220265793919291451457,available,36000.0,stop,0.432299422506951008758490012611393934145526794462223186551280070100210286780770788167181200,win,11.0978936888129023798311553909922367647991614002036381878584473978567898898403097538825159,win
ger50-17-trans-dfn-3t,three_skills,gurobi_only,3969.433399999999,general skill,[],3969.433399999999,general skill,3934.3152,dual skill Gurobi,0.00884715687634386531013642308342175740659185349268170278202765479871832136739082175262629860,available,historically accepted numerical witness; not uniformly revalidated,3969.433399999997,3917.155362335,0.0131701511014133753977213232095356967480471214373039346475404554997204242351985296342981106,4352.9664,3831.36744,0.119826093764472889108447976993344125054583467494718084660612128777286220265793919291451457,available,36000.0,stop,0.432299422506951008758490012611393934145526794462223186551280070100210286780770788167181200,win,11.0978936888129023798311553909922367647991614002036381878584473978567898898403097538825159,win
ger50-17-trans-dfn-3t,primal_dual,all_available,3969.4334,primal skill,[],3969.4334,primal skill,3934.3152,dual skill Gurobi,0.00884715687634411500643895423462703770266053588403826097699485271625920213197178216921336934,available,historically accepted numerical witness; not uniformly revalidated,3969.433399999997,3917.155362335,0.0131701511014133753977213232095356967480471214373039346475404554997204242351985296342981106,4352.9664,3831.36744,0.119826093764472889108447976993344125054583467494718084660612128777286220265793919291451457,available,36000.0,stop,0.432299422506926039128236897490865904538658555326567367054560278346122210322674746508474126,win,11.0978936888128774102009022758717087351922931610679823683617276061027018133822137122238088,win
ger50-17-trans-dfn-3t,primal_dual,gurobi_only,3969.4334,primal skill,[],3969.4334,primal skill,3934.3152,dual skill Gurobi,0.00884715687634411500643895423462703770266053588403826097699485271625920213197178216921336934,available,historically accepted numerical witness; not uniformly revalidated,3969.433399999997,3917.155362335,0.0131701511014133753977213232095356967480471214373039346475404554997204242351985296342981106,4352.9664,3831.36744,0.119826093764472889108447976993344125054583467494718084660612128777286220265793919291451457,available,36000.0,stop,0.432299422506926039128236897490865904538658555326567367054560278346122210322674746508474126,win,11.0978936888128774102009022758717087351922931610679823683617276061027018133822137122238088,win
eva1aprime6x6opt,three_skills,all_available,-18.101002981361386,general skill,[],-18.101002981361386,general skill,-96.70380539695806,dual skill Gurobi,0.812820158347866051530633019502592333427922327891635731287433724882480127768260623173608665,available,historically accepted numerical witness; not uniformly revalidated,-18.100995280293148,-239.4227696265,0.924397352396638227517559745791131583069511919340264511489816925271755153400825451126508586,1.71485284,-140.895641,1.01217108512249857325252525023112673869023385897367825595115465637435866450971325649457104,available,36000.0,stop,11.1577194048772175986926726288539249641589591448628780202383200389275025632564827952899921,win,19.9350926774632521721892230728534405262311531082042524663720931491878536741452633320962377,win
eva1aprime6x6opt,three_skills,gurobi_only,-18.101002981361386,general skill,[],-18.101002981361386,general skill,-96.70380539695806,dual skill Gurobi,0.812820158347866051530633019502592333427922327891635731287433724882480127768260623173608665,available,historically accepted numerical witness; not uniformly revalidated,-18.100995280293148,-239.4227696265,0.924397352396638227517559745791131583069511919340264511489816925271755153400825451126508586,1.71485284,-140.895641,1.01217108512249857325252525023112673869023385897367825595115465637435866450971325649457104,available,36000.0,stop,11.1577194048772175986926726288539249641589591448628780202383200389275025632564827952899921,win,19.9350926774632521721892230728534405262311531082042524663720931491878536741452633320962377,win
eva1aprime6x6opt,primal_dual,all_available,-18.100996765491708,primal skill,[],-18.100996765491708,primal skill,-96.70380539695806,dual skill Gurobi,0.812820222625271190703449995214443264074927743667883474010352455632847841879113737173839813,available,historically accepted numerical witness; not uniformly revalidated,-18.100995280293148,-239.4227696265,0.924397352396638227517559745791131583069511919340264511489816925271755153400825451126508586,1.71485284,-140.895641,1.01217108512249857325252525023112673869023385897367825595115465637435866450971325649457104,available,36000.0,stop,11.1577129771367036814109750576688318994584175672381037479464469638907311521711713952668773,win,19.9350862497227382549075255016683474615306115305794781940802200741510822630599519320731229,win
eva1aprime6x6opt,primal_dual,gurobi_only,-18.100996765491708,primal skill,[],-18.100996765491708,primal skill,-96.70380539695806,dual skill Gurobi,0.812820222625271190703449995214443264074927743667883474010352455632847841879113737173839813,available,historically accepted numerical witness; not uniformly revalidated,-18.100995280293148,-239.4227696265,0.924397352396638227517559745791131583069511919340264511489816925271755153400825451126508586,1.71485284,-140.895641,1.01217108512249857325252525023112673869023385897367825595115465637435866450971325649457104,available,36000.0,stop,11.1577129771367036814109750576688318994584175672381037479464469638907311521711713952668773,win,19.9350862497227382549075255016683474615306115305794781940802200741510822630599519320731229,win
