instance,portfolio,backend_scope,direct_gurobi_primal,direct_gurobi_dual,direct_gurobi_gap_fraction,portfolio_gap_fraction,gap_reduction_pp,verdict,direct_gurobi_runtime_seconds
sct1,primal_dual,gurobi_only,-187.85043796133093,-200.01276368708199,0.0608077479734188338521423282042790608025889647273468091788459865896069523848312711804040444,0.0615110361614444519555036843409043679750080062218777059177679808149896260690628546317621421,-0.0703288188025618103361356136625307172419041494530896738921994225382673684231583451358097668,loss,9000.03909111023
shipsched,three_skills,all_available,121040.0,81735.12692019965,0.324726314274622851949768671513549239920687376074025115664243225380039656311962987442167878,0.233579253962084478655357672231151297383503720881022242051297649022706109017721502377465630,9.11470603125383732944109992823979425371836551930028736129455763573335472942414850647022484,win,9000.045393943787
shipsched,three_skills,gurobi_only,121040.0,81735.12692019965,0.324726314274622851949768671513549239920687376074025115664243225380039656311962987442167878,0.233579253962084478655357672231151297383503720881022242051297649022706109017721502377465630,9.11470603125383732944109992823979425371836551930028736129455763573335472942414850647022484,win,9000.045393943787
shipsched,primal_dual,all_available,121040.0,81735.12692019965,0.324726314274622851949768671513549239920687376074025115664243225380039656311962987442167878,0.233580389431624429701067186548147042117243306408578119690196526301617223229059837496312720,9.11459248429984222487014849654021978034440696654469959740466990784224330829031499458551584,win,9000.045393943787
shipsched,primal_dual,gurobi_only,121040.0,81735.12692019965,0.324726314274622851949768671513549239920687376074025115664243225380039656311962987442167878,0.233580389431624429701067186548147042117243306408578119690196526301617223229059837496312720,9.11459248429984222487014849654021978034440696654469959740466990784224330829031499458551584,win,9000.045393943787
rocII-8-11,three_skills,all_available,-7.723856420472524,-11.822801264436444,0.346698278376186838066466505027003479594308986546789458802796046174177869731597402737401093,0.260588407190491285956006768189509306260575296108291032148900169204737732656514382402707276,8.61098711856955521104597368374941733337336904384984266538958769694401370750830203346938171,win,9000.03397989273
rocII-8-11,three_skills,gurobi_only,-7.723856420472524,-11.822801264436444,0.346698278376186838066466505027003479594308986546789458802796046174177869731597402737401093,0.260588407190491285956006768189509306260575296108291032148900169204737732656514382402707276,8.61098711856955521104597368374941733337336904384984266538958769694401370750830203346938171,win,9000.03397989273
rocII-8-11,primal_dual,all_available,-7.723856420472524,-11.822801264436444,0.346698278376186838066466505027003479594308986546789458802796046174177869731597402737401093,0.260588414977854230118443316412859560067681895093062605752961082910321489001692047377326565,8.61098633983326079480231886141439195266270914537268530498349632638563807299053553600745281,win,9000.03397989273
rocII-8-11,primal_dual,gurobi_only,-7.723856420472524,-11.822801264436444,0.346698278376186838066466505027003479594308986546789458802796046174177869731597402737401093,0.260588414977854230118443316412859560067681895093062605752961082910321489001692047377326565,8.61098633983326079480231886141439195266270914537268530498349632638563807299053553600745281,win,9000.03397989273
ns1856153,three_skills,all_available,34.943478676096305,0.06318419472889095,0.998191817268264330004337081751480635480561324563645013716547302319707601628199741844877912,0.0387985031185010532698004590267387233967378697930347376865081921984236461203723758104918452,95.9393314149763276734536622724741912083823454770610276030039110121283955507827366034386067,win,9000.032253026962
